=== qwen / srl ===
loading Qwen2.5-7B-Instruct (Q4_K_M) ...
loaded in 432.8s
81 clauses  model=qwen  scheme=srl
[1/81]   7.8s  avg=  7.8s  ok=1/1  eta= 10.4min  id=6c70c05d
[36/81]   5.3s  avg=  5.5s  ok=36/36  eta=  4.2min  id=defff373
[37/81]   5.6s  avg=  5.5s  ok=37/37  eta=  4.1min  id=cb8565e3
[38/81]   5.6s  avg=  5.5s  ok=38/38  eta=  4.0min  id=85050eed
[39/81]   5.2s  avg=  5.5s  ok=39/39  eta=  3.9min  id=230775d0
[40/81]   4.9s  avg=  5.5s  ok=40/40  eta=  3.8min  id=e73d0abb
[41/81]   5.3s  avg=  5.5s  ok=41/41  eta=  3.7min  id=404ced89
[42/81]   5.7s  avg=  5.5s  ok=42/42  eta=  3.6min  id=864599dc
[43/81]   5.6s  avg=  5.5s  ok=43/43  eta=  3.5min  id=01adeba3
[44/81]   5.6s  avg=  5.5s  ok=44/44  eta=  3.4min  id=33d2389b
[45/81]   5.5s  avg=  5.5s  ok=45/45  eta=  3.3min  id=48e3b2dc
[46/81]   5.5s  avg=  5.5s  ok=46/46  eta=  3.2min  id=1099d881
[47/81]   5.6s  avg=  5.5s  ok=47/47  eta=  3.1min  id=8b576093
[48/81]   5.8s  avg=  5.5s  ok=48/48  eta=  3.0min  id=517b0621
[49/81]   5.1s  avg=  5.5s  ok=49/49  eta=  2.9min  id=99d422b9
[50/81]   5.4s  avg=  5.5s  ok=50/50  eta=  2.9min  id=a4549b4f
[51/81]   5.7s  avg=  5.5s  ok=51/51  eta=  2.8min  id=866a15ed
[52/81]   5.5s  avg=  5.5s  ok=52/52  eta=  2.7min  id=6a06ab7d
[53/81]   5.9s  avg=  5.5s  ok=53/53  eta=  2.6min  id=f1c54d9d
[54/81]   5.6s  avg=  5.5s  ok=54/54  eta=  2.5min  id=5510c719
[55/81]   5.4s  avg=  5.5s  ok=55/55  eta=  2.4min  id=bad43436
[56/81]   5.5s  avg=  5.5s  ok=56/56  eta=  2.3min  id=5b72156d
[57/81]   5.5s  avg=  5.5s  ok=57/57  eta=  2.2min  id=4b4d7c63
[58/81]   5.4s  avg=  5.5s  ok=58/58  eta=  2.1min  id=7aaecc5b
[59/81]   5.5s  avg=  5.5s  ok=59/59  eta=  2.0min  id=82c58e4c
[60/81]   5.4s  avg=  5.5s  ok=60/60  eta=  1.9min  id=65e6cfee
[61/81]   5.4s  avg=  5.5s  ok=61/61  eta=  1.8min  id=8b21c9f1
[62/81]   5.5s  avg=  5.5s  ok=62/62  eta=  1.7min  id=4ed06393
[63/81]   5.2s  avg=  5.5s  ok=63/63  eta=  1.7min  id=b731d69f
[64/81]   5.3s  avg=  5.5s  ok=64/64  eta=  1.6min  id=e77c2c0a
[65/81]   5.2s  avg=  5.5s  ok=65/65  eta=  1.5min  id=9836b4c5
[66/81]   5.3s  avg=  5.5s  ok=66/66  eta=  1.4min  id=e748ffff
[67/81]   5.4s  avg=  5.5s  ok=67/67  eta=  1.3min  id=8436f36e
[68/81]   5.5s  avg=  5.5s  ok=68/68  eta=  1.2min  id=88fd1ad2
[69/81]   5.4s  avg=  5.5s  ok=69/69  eta=  1.1min  id=b260db45
[70/81]   5.5s  avg=  5.5s  ok=70/70  eta=  1.0min  id=9803dd21
[71/81]   5.4s  avg=  5.5s  ok=71/71  eta=  0.9min  id=30d69ed8
[72/81]   5.4s  avg=  5.5s  ok=72/72  eta=  0.8min  id=12073c5c
[73/81]   5.8s  avg=  5.5s  ok=73/73  eta=  0.7min  id=56c4ad27
[74/81]   6.0s  avg=  5.5s  ok=74/74  eta=  0.6min  id=ebaa1e16
[75/81]   5.7s  avg=  5.5s  ok=75/75  eta=  0.6min  id=16e8253e
[76/81]   5.4s  avg=  5.5s  ok=76/76  eta=  0.5min  id=a19ee40d
[77/81]   5.0s  avg=  5.5s  ok=77/77  eta=  0.4min  id=b864e123
[78/81]   5.6s  avg=  5.5s  ok=78/78  eta=  0.3min  id=110e0229
[79/81]   5.4s  avg=  5.5s  ok=79/79  eta=  0.2min  id=f4beaedd
[80/81]   5.4s  avg=  5.5s  ok=80/80  eta=  0.1min  id=99418d10
[81/81]   5.5s  avg=  5.5s  ok=81/81  eta=  0.0min  id=9e5c7160

done. 81 parsed, 0 failed (0.0% parse failure). avg 5.5s/clause. wrote ../results/qwen_discourse.jsonl
=== mistral / srl ===
loading Mistral-7B-Instruct-v0.3 (Q4_K_M) ...
loaded in 387.5s
81 clauses  model=mistral  scheme=srl
[1/81]   7.6s  avg=  7.6s  ok=1/1  eta= 10.1min  id=6c70c05d
[2/81]   6.5s  avg=  7.1s  ok=2/2  eta=  9.3min  id=90198b2f
[3/81]   6.5s  avg=  6.9s  ok=3/3  eta=  9.0min  id=12f07fb3
[4/81]   6.1s  avg=  6.7s  ok=4/4  eta=  8.6min  id=85fbe1ef
[5/81]   6.1s  avg=  6.6s  ok=5/5  eta=  8.3min  id=919e8c64
[6/81]   6.1s  avg=  6.5s  ok=6/6  eta=  8.1min  id=f1d27d11
[7/81]   6.1s  avg=  6.4s  ok=7/7  eta=  7.9min  id=854eba63
[8/81]   7.4s  avg=  6.5s  ok=8/8  eta=  8.0min  id=d6504b6b
[9/81]   7.4s  avg=  6.6s  ok=9/9  eta=  8.0min  id=ba68cdb6
[10/81]   6.1s  avg=  6.6s  ok=10/10  eta=  7.8min  id=9affec9a
[11/81]   7.5s  avg=  6.7s  ok=11/11  eta=  7.8min  id=b1485f9d
[12/81]   7.2s  avg=  6.7s  ok=12/12  eta=  7.7min  id=36da9597
[13/81]   5.9s  avg=  6.7s  ok=13/13  eta=  7.5min  id=e61e6b32
[14/81]   7.3s  avg=  6.7s  ok=14/14  eta=  7.5min  id=254ae6a0
[15/81]   6.6s  avg=  6.7s  ok=15/15  eta=  7.4min  id=cc1a7762
[16/81]   6.0s  avg=  6.6s  ok=16/16  eta=  7.2min  id=d5b5dbb9
[17/81]   7.0s  avg=  6.7s  ok=17/17  eta=  7.1min  id=dad1381f
[18/81]   7.1s  avg=  6.7s  ok=18/18  eta=  7.0min  id=3257b1ba
[19/81]   6.6s  avg=  6.7s  ok=19/19  eta=  6.9min  id=3f7337d0
[20/81]   6.6s  avg=  6.7s  ok=20/20  eta=  6.8min  id=53e07303
[21/81]   7.2s  avg=  6.7s  ok=21/21  eta=  6.7min  id=8d6dc531
[22/81]   6.2s  avg=  6.7s  ok=22/22  eta=  6.6min  id=8c22824f
[23/81]   7.3s  avg=  6.7s  ok=23/23  eta=  6.5min  id=09c28b54
[24/81]   6.3s  avg=  6.7s  ok=24/24  eta=  6.4min  id=0c539d50
[25/81]   6.6s  avg=  6.7s  ok=25/25  eta=  6.2min  id=5c175f9b
[26/81]   8.5s  avg=  6.8s  ok=26/26  eta=  6.2min  id=aa45604e
[27/81]   7.4s  avg=  6.8s  ok=27/27  eta=  6.1min  id=8f30fd87
[28/81]   6.4s  avg=  6.8s  ok=28/28  eta=  6.0min  id=149ee200
[29/81]   6.2s  avg=  6.7s  ok=29/29  eta=  5.8min  id=f611c08f
[30/81]   6.8s  avg=  6.8s  ok=30/30  eta=  5.7min  id=4bc9d48d
[31/81]   7.1s  avg=  6.8s  ok=31/31  eta=  5.6min  id=a0a638e7
[32/81]   6.1s  avg=  6.7s  ok=32/32  eta=  5.5min  id=96f1ca71
[33/81]   6.9s  avg=  6.7s  ok=33/33  eta=  5.4min  id=91b25250
[34/81]   6.4s  avg=  6.7s  ok=34/34  eta=  5.3min  id=fc2be294
[35/81]   7.3s  avg=  6.8s  ok=35/35  eta=  5.2min  id=66eb98e8
[36/81]   7.3s  avg=  6.8s  ok=36/36  eta=  5.1min  id=defff373
[37/81]   7.4s  avg=  6.8s  ok=37/37  eta=  5.0min  id=cb8565e3
[38/81]   7.0s  avg=  6.8s  ok=38/38  eta=  4.9min  id=85050eed
[39/81]   7.3s  avg=  6.8s  ok=39/39  eta=  4.8min  id=230775d0
[40/81]   6.1s  avg=  6.8s  ok=40/40  eta=  4.6min  id=e73d0abb
[41/81]   5.7s  avg=  6.8s  ok=41/41  eta=  4.5min  id=404ced89
[42/81]   7.2s  avg=  6.8s  ok=42/42  eta=  4.4min  id=864599dc
[43/81]   6.0s  avg=  6.8s  ok=43/43  eta=  4.3min  id=01adeba3
[44/81]   6.3s  avg=  6.7s  ok=44/44  eta=  4.2min  id=33d2389b
[45/81]   5.8s  avg=  6.7s  ok=45/45  eta=  4.0min  id=48e3b2dc
[46/81]   7.0s  avg=  6.7s  ok=46/46  eta=  3.9min  id=1099d881
[47/81]   7.1s  avg=  6.7s  ok=47/47  eta=  3.8min  id=8b576093
[48/81]   7.2s  avg=  6.7s  ok=48/48  eta=  3.7min  id=517b0621
[49/81]   6.0s  avg=  6.7s  ok=49/49  eta=  3.6min  id=99d422b9
[50/81]   5.6s  avg=  6.7s  ok=49/50  eta=  3.5min  id=a4549b4f
[51/81]   6.0s  avg=  6.7s  ok=50/51  eta=  3.3min  id=866a15ed
[52/81]   6.7s  avg=  6.7s  ok=51/52  eta=  3.2min  id=6a06ab7d
[53/81]   8.2s  avg=  6.7s  ok=52/53  eta=  3.1min  id=f1c54d9d
[54/81]   7.2s  avg=  6.7s  ok=53/54  eta=  3.0min  id=5510c719
[55/81]   6.3s  avg=  6.7s  ok=54/55  eta=  2.9min  id=bad43436
[56/81]   7.8s  avg=  6.7s  ok=55/56  eta=  2.8min  id=5b72156d
[57/81]   7.3s  avg=  6.8s  ok=56/57  eta=  2.7min  id=4b4d7c63
[58/81]   6.1s  avg=  6.7s  ok=57/58  eta=  2.6min  id=7aaecc5b
[59/81]   6.2s  avg=  6.7s  ok=58/59  eta=  2.5min  id=82c58e4c
[60/81]   6.4s  avg=  6.7s  ok=59/60  eta=  2.4min  id=65e6cfee
[61/81]   6.9s  avg=  6.7s  ok=60/61  eta=  2.2min  id=8b21c9f1
[62/81]   7.5s  avg=  6.7s  ok=61/62  eta=  2.1min  id=4ed06393
[63/81]   6.5s  avg=  6.7s  ok=62/63  eta=  2.0min  id=b731d69f
[64/81]   6.8s  avg=  6.7s  ok=63/64  eta=  1.9min  id=e77c2c0a
[65/81]   7.5s  avg=  6.7s  ok=64/65  eta=  1.8min  id=9836b4c5
[66/81]   7.2s  avg=  6.8s  ok=65/66  eta=  1.7min  id=e748ffff
[67/81]   6.2s  avg=  6.7s  ok=66/67  eta=  1.6min  id=8436f36e
[68/81]   6.1s  avg=  6.7s  ok=67/68  eta=  1.5min  id=88fd1ad2
[69/81]   6.1s  avg=  6.7s  ok=68/69  eta=  1.3min  id=b260db45
[70/81]   6.3s  avg=  6.7s  ok=69/70  eta=  1.2min  id=9803dd21
[71/81]   7.5s  avg=  6.7s  ok=70/71  eta=  1.1min  id=30d69ed8
[72/81]   6.4s  avg=  6.7s  ok=71/72  eta=  1.0min  id=12073c5c
[73/81]   6.7s  avg=  6.7s  ok=72/73  eta=  0.9min  id=56c4ad27
[74/81]   7.3s  avg=  6.7s  ok=73/74  eta=  0.8min  id=ebaa1e16
[75/81]   7.5s  avg=  6.7s  ok=74/75  eta=  0.7min  id=16e8253e
[76/81]   7.7s  avg=  6.8s  ok=75/76  eta=  0.6min  id=a19ee40d
[77/81]   6.8s  avg=  6.8s  ok=76/77  eta=  0.5min  id=b864e123
[78/81]   6.5s  avg=  6.8s  ok=77/78  eta=  0.3min  id=110e0229
[79/81]   6.9s  avg=  6.8s  ok=78/79  eta=  0.2min  id=f4beaedd
[80/81]   6.6s  avg=  6.8s  ok=79/80  eta=  0.1min  id=99418d10
[81/81]   6.5s  avg=  6.8s  ok=80/81  eta=  0.0min  id=9e5c7160

done. 80 parsed, 1 failed (1.2% parse failure). avg 6.8s/clause. wrote ../results/mistral_srl.jsonl
=== mistral / discourse ===
loading Mistral-7B-Instruct-v0.3 (Q4_K_M) ...
loaded in 4.4s
81 clauses  model=mistral  scheme=discourse
[1/81]   7.0s  avg=  7.0s  ok=1/1  eta=  9.3min  id=6c70c05d
[2/81]   5.7s  avg=  6.3s  ok=2/2  eta=  8.3min  id=90198b2f
[3/81]   5.6s  avg=  6.1s  ok=3/3  eta=  7.9min  id=12f07fb3
[4/81]   6.0s  avg=  6.1s  ok=4/4  eta=  7.8min  id=85fbe1ef
[5/81]   5.9s  avg=  6.0s  ok=5/5  eta=  7.6min  id=919e8c64
[6/81]   5.5s  avg=  5.9s  ok=6/6  eta=  7.4min  id=f1d27d11
[7/81]   5.9s  avg=  5.9s  ok=7/7  eta=  7.3min  id=854eba63
[8/81]   7.5s  avg=  6.1s  ok=8/8  eta=  7.5min  id=d6504b6b
[9/81]   7.2s  avg=  6.2s  ok=9/9  eta=  7.5min  id=ba68cdb6
[10/81]   5.8s  avg=  6.2s  ok=10/10  eta=  7.3min  id=9affec9a
[11/81]   6.1s  avg=  6.2s  ok=11/11  eta=  7.2min  id=b1485f9d
[12/81]   7.3s  avg=  6.3s  ok=12/12  eta=  7.2min  id=36da9597
[13/81]   5.7s  avg=  6.2s  ok=13/13  eta=  7.1min  id=e61e6b32
[14/81]   5.9s  avg=  6.2s  ok=14/14  eta=  6.9min  id=254ae6a0
[15/81]   5.9s  avg=  6.2s  ok=15/15  eta=  6.8min  id=cc1a7762
[16/81]   5.7s  avg=  6.2s  ok=16/16  eta=  6.7min  id=d5b5dbb9
[17/81]   5.7s  avg=  6.1s  ok=17/17  eta=  6.5min  id=dad1381f
[18/81]   5.9s  avg=  6.1s  ok=18/18  eta=  6.4min  id=3257b1ba
[19/81]   5.8s  avg=  6.1s  ok=19/19  eta=  6.3min  id=3f7337d0
[20/81]   6.1s  avg=  6.1s  ok=20/20  eta=  6.2min  id=53e07303
[21/81]   5.8s  avg=  6.1s  ok=21/21  eta=  6.1min  id=8d6dc531
[22/81]   5.9s  avg=  6.1s  ok=22/22  eta=  6.0min  id=8c22824f
[23/81]   6.1s  avg=  6.1s  ok=23/23  eta=  5.9min  id=09c28b54
[24/81]   5.8s  avg=  6.1s  ok=24/24  eta=  5.8min  id=0c539d50
[25/81]   5.8s  avg=  6.1s  ok=25/25  eta=  5.6min  id=5c175f9b
[26/81]   8.4s  avg=  6.1s  ok=26/26  eta=  5.6min  id=aa45604e
[27/81]   6.9s  avg=  6.2s  ok=27/27  eta=  5.6min  id=8f30fd87
[28/81]   6.1s  avg=  6.2s  ok=28/28  eta=  5.4min  id=149ee200
[29/81]   5.9s  avg=  6.2s  ok=29/29  eta=  5.3min  id=f611c08f
[30/81]   6.0s  avg=  6.2s  ok=30/30  eta=  5.2min  id=4bc9d48d
[31/81]   6.3s  avg=  6.2s  ok=31/31  eta=  5.1min  id=a0a638e7
[32/81]   5.9s  avg=  6.2s  ok=32/32  eta=  5.0min  id=96f1ca71
[33/81]   6.2s  avg=  6.2s  ok=33/33  eta=  4.9min  id=91b25250
[34/81]   6.2s  avg=  6.2s  ok=34/34  eta=  4.8min  id=fc2be294
[35/81]   7.2s  avg=  6.2s  ok=35/35  eta=  4.7min  id=66eb98e8
[36/81]   7.1s  avg=  6.2s  ok=36/36  eta=  4.7min  id=defff373
[37/81]   7.1s  avg=  6.2s  ok=37/37  eta=  4.6min  id=cb8565e3
[38/81]   6.0s  avg=  6.2s  ok=38/38  eta=  4.5min  id=85050eed
[39/81]   5.9s  avg=  6.2s  ok=39/39  eta=  4.4min  id=230775d0
[40/81]   5.9s  avg=  6.2s  ok=40/40  eta=  4.2min  id=e73d0abb
[41/81]   5.8s  avg=  6.2s  ok=41/41  eta=  4.1min  id=404ced89
[42/81]   7.1s  avg=  6.2s  ok=42/42  eta=  4.0min  id=864599dc
[43/81]   5.8s  avg=  6.2s  ok=43/43  eta=  3.9min  id=01adeba3
[44/81]   5.8s  avg=  6.2s  ok=44/44  eta=  3.8min  id=33d2389b
[45/81]   5.8s  avg=  6.2s  ok=45/45  eta=  3.7min  id=48e3b2dc
[46/81]   6.1s  avg=  6.2s  ok=46/46  eta=  3.6min  id=1099d881
[47/81]   7.1s  avg=  6.2s  ok=47/47  eta=  3.5min  id=8b576093
[48/81]   7.5s  avg=  6.2s  ok=48/48  eta=  3.4min  id=517b0621
[49/81]   6.1s  avg=  6.2s  ok=49/49  eta=  3.3min  id=99d422b9
[50/81]   5.5s  avg=  6.2s  ok=50/50  eta=  3.2min  id=a4549b4f
[51/81]   5.9s  avg=  6.2s  ok=51/51  eta=  3.1min  id=866a15ed
[52/81]   6.1s  avg=  6.2s  ok=52/52  eta=  3.0min  id=6a06ab7d
[53/81]   7.1s  avg=  6.2s  ok=53/53  eta=  2.9min  id=f1c54d9d
[54/81]   6.4s  avg=  6.2s  ok=54/54  eta=  2.8min  id=5510c719
[55/81]   6.3s  avg=  6.2s  ok=55/55  eta=  2.7min  id=bad43436
[56/81]   7.0s  avg=  6.2s  ok=56/56  eta=  2.6min  id=5b72156d
[57/81]   5.8s  avg=  6.2s  ok=57/57  eta=  2.5min  id=4b4d7c63
[58/81]   5.9s  avg=  6.2s  ok=58/58  eta=  2.4min  id=7aaecc5b
[59/81]   6.1s  avg=  6.2s  ok=59/59  eta=  2.3min  id=82c58e4c
